100 633.754
105 563.474
110 638.401
115 684.128
120 688.07
125 688.605
130 695.761
135 744.227
140 738.663
145 745.041
150 754.331
155 665.365
160 708.493
165 647.716
170 651.46
175 702.518
180 568.305
185 519.266
190 298.989
195 193.781
200 385.376
205 348.638
210 360.703
215 312.498
220 359.473
225 369.105
230 285.171
235 320.149
240 280.444
245 268.392
250 229.901
255 206.298
260 183.411
265 158.525
270 160.448
275 135.847
280 146.023
285 127.245
290 121.989
295 100.559
300 111.947
305 92.263
310 126.802
315 105.775
320 64.907
325 78.279
330 74.167
335 73.34
340 95.7673
345 109.527
350 60.703
355 87.4618
360 61.648
365 89.7673
370 60.885
375 59.512
380 58.26
385 56.547
390 58.364
395 56.939
400 56.523
405 56.689
410 47.019
415 47.769
420 53.907
425 53.053
430 52.085
435 51.406
440 86.3282
445 51.597
450 50.371
455 49.042
460 49.389
465 48.914
470 47.498
475 45.458
480 44.647
485 76.7627
490 43.92
495 44.464
500 44.21
